,movie_id,movie_imdb_link,certificate,runtime_in_mins,genre,imdb_rating,number_of_votes,metascore,top_director,release_year,awards_link,awards_total,top_writer,top_star_1,top_star_2,top_star_3,num_user_reviews,num_critic_reviews,release_date,country_of_origin,top_production_company,budget_in_usd,opening_weekend_us_can_in_usd,gross_us_can_in_usd,gross_worldwide_in_usd,total_award_nominations,total_award_wins,primary_genre,secondary_genre,release_weekday,release_month,is_among_best_director,top_production_company_grouped,country_of_origin_grouped
0,tt1877830,https://www.imdb.com/title/tt1877830/?ref_=adv_li_tt,+13/14,176.0,"Action, Crime, Drama",7.9,613958.0,72.0,Matt Reeves,2022,https://www.imdb.com/title/tt1877830/awards/?ref_=tt_awd,Showing all 2 wins and 27 nominations,Matt Reeves,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,7700.0,520.0,2022-03-04,United States,Warner Bros.,200000000.0,134008624.0,369345583.0,770836163.0,27.0,2.0,Action,Crime,5,3.0,Y,Warner Bros.,United States
1,tt1745960,https://www.imdb.com/title/tt1745960/?ref_=adv_li_tt,+13/14,130.0,"Action, Drama",8.4,413022.0,78.0,Joseph Kosinski,2022,https://www.imdb.com/title/tt1745960/awards/?ref_=tt_awd,Showing all 2 wins and 10 nominations,Jim Cash,Tom Cruise,Jennifer Connelly,Miles Teller,3700.0,386.0,2022-05-27,United States,Paramount Pictures,170000000.0,126707459.0,716657763.0,1485757763.0,10.0,2.0,Action,Drama,5,5.0,Y,Paramount Pictures,United States
2,tt9419884,https://www.imdb.com/title/tt9419884/?ref_=adv_li_tt,+13/14,126.0,"Action, Adventure, Fantasy",6.9,398982.0,60.0,Sam Raimi,2022,https://www.imdb.com/title/tt9419884/awards/?ref_=tt_awd,Showing all 0 wins and 8 nominations,Michael Waldron,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,3900.0,399.0,2022-05-06,United States,Marvel Studios,200000000.0,187420998.0,411331607.0,955775804.0,8.0,0.0,Action,Adventure,5,5.0,Y,Other,United States
3,tt10648342,https://www.imdb.com/title/tt10648342/?ref_=adv_li_tt,+13/14,118.0,"Action, Adventure, Comedy",6.4,296865.0,57.0,Taika Waititi,2022,https://www.imdb.com/title/tt10648342/awards/?ref_=tt_awd,Showing all 0 wins and 6 nominations,Taika Waititi,Chris Hemsworth,Natalie Portman,Christian Bale,3900.0,334.0,2022-07-08,Australia,Marvel Studios,250000000.0,144165107.0,343256830.0,760755255.0,6.0,0.0,Action,Adventure,5,7.0,Y,Other,Other
4,tt6710474,https://www.imdb.com/title/tt6710474/?ref_=adv_li_tt,Adult,139.0,"Action, Adventure, Comedy",8.1,228555.0,81.0,Dan Kwan,2022,https://www.imdb.com/title/tt6710474/awards/?ref_=tt_awd,Showing all 10 wins and 14 nominations,Dan Kwan,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,2100.0,334.0,2022-04-08,United States,A24,25000000.0,501305.0,70008593.0,101841757.0,14.0,10.0,Action,Adventure,5,4.0,N,Other,United States
6,tt1464335,https://www.imdb.com/title/tt1464335/?ref_=adv_li_tt,+13/14,116.0,"Action, Adventure",6.3,195667.0,45.0,Ruben Fleischer,2022,https://www.imdb.com/title/tt1464335/awards/?ref_=tt_awd,0,Rafe Judkins,Tom Holland,Mark Wahlberg,Antonio Banderas,1600.0,265.0,2022-02-11,Spain,Columbia Pictures,120000000.0,44010155.0,148648820.0,401748820.0,0.0,0.0,Action,Adventure,5,2.0,Y,Columbia Pictures,Other
8,tt11138512,https://www.imdb.com/title/tt11138512/?ref_=adv_li_tt,Adult,137.0,"Action, Adventure, Drama",7.1,184203.0,82.0,Robert Eggers,2022,https://www.imdb.com/title/tt11138512/awards/?ref_=tt_awd,Showing all 0 wins and 6 nominations,Sjón,Alexander Skarsgård,Nicole Kidman,Claes Bang,2000.0,347.0,2022-04-22,United States,New Regency Productions,60000000.0,12290800.0,34233110.0,69633110.0,6.0,0.0,Action,Adventure,5,4.0,N,Other,United States
10,tt12593682,https://www.imdb.com/title/tt12593682/?ref_=adv_li_tt,Adult,127.0,"Action, Comedy, Thriller",7.3,156779.0,49.0,David Leitch,2022,https://www.imdb.com/title/tt12593682/awards/?ref_=tt_awd,Showing all 0 wins and 1 nomination,Zak Olkewicz,Brad Pitt,Joey King,Aaron Taylor-Johnson,1200.0,271.0,2022-08-05,United States,87North,85900000.0,30030156.0,103368559.0,239268559.0,1.0,0.0,Action,Comedy,5,8.0,Y,Other,United States
11,tt10954984,https://www.imdb.com/title/tt10954984/?ref_=adv_li_tt,Adult,130.0,"Horror, Mystery, Sci-Fi",6.9,146154.0,77.0,Jordan Peele,2022,https://www.imdb.com/title/tt10954984/awards/?ref_=tt_awd,Showing all 1 win and 10 nominations,Jordan Peele,Daniel Kaluuya,Keke Palmer,Brandon Perea,1800.0,343.0,2022-08-19,United States,Universal Pictures,68000000.0,44366910.0,123277080.0,170823080.0,10.0,1.0,Horror,Other,5,8.0,Y,Universal Pictures,United States
12,tt8041270,https://www.imdb.com/title/tt8041270/?ref_=adv_li_tt,+13/14,147.0,"Action, Adventure, Sci-Fi",5.7,145179.0,38.0,Colin Trevorrow,2022,https://www.imdb.com/title/tt8041270/awards/?ref_=tt_awd,Showing all 0 wins and 4 nominations,Emily Carmichael,Chris Pratt,Bryce Dallas Howard,Laura Dern,2500.0,338.0,2022-06-10,United States,Amblin Entertainment,165000000.0,145075625.0,376009080.0,1001136080.0,4.0,0.0,Action,Adventure,5,6.0,N,Other,United States
