,Title,Winner,Award,Year
0,Belfast,N,Picture,2021
1,CODA,Y,Picture,2021
2,Don't Look Up,N,Picture,2021
3,Drive My Car,N,Picture,2021
4,Dune,N,Picture,2021
5,King Richard,N,Picture,2021
6,Licorice Pizza,N,Picture,2021
7,Nightmare Alley,N,Picture,2021
8,The Power of the Dog,N,Picture,2021
9,West Side Story,N,Picture,2021
10,Jessica Chastain,Y,Actress,2021
11,Olivia Colman,N,Actress,2021
12,Penélope Cruz,N,Actress,2021
13,Nicole Kidman,N,Actress,2021
14,Kristen Stewart,N,Actress,2021
15,Javier Bardem,N,Actor,2021
16,Benedict Cumberbatch,N,Actor,2021
17,Andrew Garfield,N,Actor,2021
18,Will Smith,Y,Actor,2021
19,Denzel Washington,N,Actor,2021
20,Ciarán Hinds,N,Supporting Actor,2021
21,Troy Kotsur,Y,Supporting Actor,2021
22,Jesse Plemons,N,Supporting Actor,2021
23,J.K. Simmons,N,Supporting Actor,2021
24,Kodi Smit-McPhee,N,Supporting Actor,2021
25,Jessie Buckley,N,Supporting Actress,2021
26,Ariana DeBose,Y,Supporting Actress,2021
27,Judi Dench,N,Supporting Actress,2021
28,Kirsten Dunst,N,Supporting Actress,2021
29,Aunjanue Ellis,N,Supporting Actress,2021
30,Nomadland,Y,Picture,2020
31,Judas and the Black Messiah,N,Picture,2020
32,Mank,N,Picture,2020
33,Minari,N,Picture,2020
34,Promising Young Woman,N,Picture,2020
35,Sound of Metal,N,Picture,2020
36,The Father,N,Picture,2020
37,The Trial of the Chicago 7,N,Picture,2020
38,Anthony Hopkins,Y,Actor,2020
39,Riz Ahmed,N,Actor,2020
40,Chadwick Boseman,N,Actor,2020
41,Gary Oldman,N,Actor,2020
42,Steven Yeun,N,Actor,2020
43,Frances McDormand,Y,Actress,2020
44,Viola Davis,N,Actress,2020
45,Andra Day,N,Actress,2020
46,Vanessa Kirby,N,Actress,2020
47,Carey Mulligan,N,Actress,2020
48,Daniel Kaluuya,Y,Supporting Actor,2020
49,Sacha Baron Cohen,N,Supporting Actor,2020
50,Leslie Odom Jr,N,Supporting Actor,2020
51,Paul Raci,N,Supporting Actor,2020
52,Lakeith Stanfield,N,Supporting Actor,2020
53,Youn Yuh-jang,Y,Supporting Actress,2020
54,Maria Bakalova,N,Supporting Actress,2020
55,Glenn Close,N,Supporting Actress,2020
56,Olivia Colman,N,Supporting Actress,2020
57,Amanda Seyfried,N,Supporting Actress,2020
58,Parasite,Y,Picture,2019
59,1917,N,Picture,2019
60,Ford v Ferrari,N,Picture,2019
61,Jojo Rabbit,N,Picture,2019
62,Joker,N,Picture,2019
63,Little Women,N,Picture,2019
64,Marriage Story,N,Picture,2019
65,Once Upon a Time in Hollywood,N,Picture,2019
66,The Irishman,N,Picture,2019
67,Joaquin Phoenix,Y,Actor,2019
68,Leonardo DiCaprio,N,Actor,2019
69,Adam Driver,N,Actor,2019
70,Antonio Banderas,N,Actor,2019
71,Jonathan Pryce,N,Actor,2019
72,Renee Zellweger,Y,Actress,2019
73,Cynthia Erivo,N,Actress,2019
74,Scarlett Johansson,N,Actress,2019
75,Saoirse Ronan,N,Actress,2019
76,Charlize Theron,N,Actress,2019
77,Brad Pitt,Y,Supporting Actor,2019
78,Tom Hanks,N,Supporting Actor,2019
79,Anthony Hopkins,N,Supporting Actor,2019
80,Al Pacino,N,Supporting Actor,2019
81,Joe Pesci,N,Supporting Actor,2019
82,Laura Dern,Y,Supporting Actress,2019
83,Kathy Bates,N,Supporting Actress,2019
84,Scarlett Johansson,N,Supporting Actress,2019
85,Florence Pugh,N,Supporting Actress,2019
86,Margot Robbie,N,Supporting Actress,2019
87,Green Book,Y,Picture,2018
88,A Star Is Born,N,Picture,2018
89,Black Panther,N,Picture,2018
90,BlacKkKlansman,N,Picture,2018
91,Bohemian Rhapsody,N,Picture,2018
92,Roma,N,Picture,2018
93,The Favourite,N,Picture,2018
94,Vice,N,Picture,2018
95,Rami Malek,Y,Actor,2018
96,Christian Bale,N,Actor,2018
97,Bradley Cooper,N,Actor,2018
98,Willem Dafoe,N,Actor,2018
99,Viggo Mortensen,N,Actor,2018
100,Olivia Colman,Y,Actress,2018
101,Yalitza Aparicio,N,Actress,2018
102,Glenn Close,N,Actress,2018
103,Lady Gaga,N,Actress,2018
104,Melissa McCarthy,N,Actress,2018
105,Mahershala Ali,Y,Supporting Actor,2018
106,Adam Driver,N,Supporting Actor,2018
107,Sam Elliott,N,Supporting Actor,2018
108,Richard E. Grant,N,Supporting Actor,2018
109,Sam Rockwell,N,Supporting Actor,2018
110,Regina King,Y,Supporting Actress,2018
111,Amy Adams,N,Supporting Actress,2018
112,Marina de Tavira,N,Supporting Actress,2018
113,Emma Stone,N,Supporting Actress,2018
114,Rachel Weisz,N,Supporting Actress,2018
115,The Shape of Water,Y,Picture,2017
116,Call Me by Your Name,N,Picture,2017
117,Darkest Hour,N,Picture,2017
118,Dunkirk,N,Picture,2017
119,Get Out,N,Picture,2017
120,Lady Bird,N,Picture,2017
121,Phantom Thread,N,Picture,2017
122,The Post,N,Picture,2017
123,"Three Billboards Outside Ebbing, Missouri",N,Picture,2017
124,Gary Oldman,Y,Actor,2017
125,Timothee Chalamet,N,Actor,2017
126,Daniel Day-Lewis,N,Actor,2017
127,Daniel Kaluuya,N,Actor,2017
128,Denzel Washington,N,Actor,2017
129,Frances McDormand,Y,Actress,2017
130,Sally Hawkins,N,Actress,2017
131,Margot Robbie,N,Actress,2017
132,Saoirse Ronan,N,Actress,2017
133,Meryl Streep,N,Actress,2017
134,Sam Rockwell,Y,Supporting Actor,2017
135,Willem Dafoe,N,Supporting Actor,2017
136,Woody Harrelson,N,Supporting Actor,2017
137,Richard Jenkins,N,Supporting Actor,2017
138,Christopher Plummer,N,Supporting Actor,2017
139,Allison Janney,Y,Supporting Actress,2017
140,Mary J. Blige,N,Supporting Actress,2017
141,Lesley Manville,N,Supporting Actress,2017
142,Laurie Metcalf,N,Supporting Actress,2017
143,Octavia Spencer,N,Supporting Actress,2017
144,Moonlight,Y,Picture,2016
145,Arrival,N,Picture,2016
146,Fences,N,Picture,2016
147,Hacksaw Ridge,N,Picture,2016
148,Hell or High Water,N,Picture,2016
149,Hidden Figures,N,Picture,2016
150,La La Land,N,Picture,2016
151,Lion,N,Picture,2016
152,Manchester by the Sea,N,Picture,2016
153,Casey Affleck,Y,Actor,2016
154,Andrew Garfield,N,Actor,2016
155,Ryan Gosling,N,Actor,2016
156,Viggo Mortensen,N,Actor,2016
157,Denzel Washington,N,Actor,2016
158,Emma Stone,Y,Actress,2016
159,Isabelle Huppert,N,Actress,2016
160,Ruth Negga,N,Actress,2016
161,Natalie Portman,N,Actress,2016
162,Meryl Streep,N,Actress,2016
163,Mahershala Ali,Y,Supporting Actor,2016
164,Jeff Bridges,N,Supporting Actor,2016
165,Lucas Hedges,N,Supporting Actor,2016
166,Dev Patel,N,Supporting Actor,2016
167,Michael Shannon,N,Supporting Actor,2016
168,Viola Davis,Y,Supporting Actress,2016
169,Naomie Harris,N,Supporting Actress,2016
170,Nicole Kidman,N,Supporting Actress,2016
171,Octavia Spencer,N,Supporting Actress,2016
172,Michelle Williams,N,Supporting Actress,2016
173,Spotlight,Y,Picture,2015
174,Bridge of Spies,N,Picture,2015
175,Brooklyn,N,Picture,2015
176,Mad Max: Fury Road,N,Picture,2015
177,Room,N,Picture,2015
178,The Big Short,N,Picture,2015
179,The Martian,N,Picture,2015
180,The Revenant,N,Picture,2015
181,Leonardo DiCaprio,Y,Actor,2015
182,Bryan Cranston,N,Actor,2015
183,Matt Damon,N,Actor,2015
184,Michael Fassbender,N,Actor,2015
185,Eddie Redmayne,N,Actor,2015
186,Brie Larson,Y,Actress,2015
187,Cate Blanchett,N,Actress,2015
188,Jennifer Lawrence,N,Actress,2015
189,Charlotte Rampling,N,Actress,2015
190,Saoirse Ronan,N,Actress,2015
191,Mark Rylance,Y,Supporting Actor,2015
192,Christian Bale,N,Supporting Actor,2015
193,Tom Hardy,N,Supporting Actor,2015
194,Mark Ruffalo,N,Supporting Actor,2015
195,Sylvester Stallone,N,Supporting Actor,2015
196,Alicia Vikander,Y,Supporting Actress,2015
197,Jennifer Jason Leigh,N,Supporting Actress,2015
198,Rooney Mara,N,Supporting Actress,2015
199,Rachel McAdams,N,Supporting Actress,2015
200,Kate Winslet,N,Supporting Actress,2015
201,Birdman,Y,Picture,2014
202,American Sniper,N,Picture,2014
203,Boyhood,N,Picture,2014
204,Selma,N,Picture,2014
205,The Grand Budapest Hotel,N,Picture,2014
206,The Imitation Game,N,Picture,2014
207,The Theory of Everything,N,Picture,2014
208,Whiplash,N,Picture,2014
209,Eddie Redmayne,Y,Actor,2014
210,Benedict Cumberbatch,N,Actor,2014
211,Bradley Cooper,N,Actor,2014
212,Michael Keaton,N,Actor,2014
213,Steve Carell,N,Actor,2014
214,Julianne Moore,Y,Actress,2014
215,Felicity Jones,N,Actress,2014
216,Marion Cotillard,N,Actress,2014
217,Reese Witherspoon,N,Actress,2014
218,Rosamund Pike,N,Actress,2014
219,J.K. Simmons,Y,Supporting Actor,2014
220,Edward Norton,N,Supporting Actor,2014
221,Ethan Hawke,N,Supporting Actor,2014
222,Mark Ruffalo,N,Supporting Actor,2014
223,Robert Duvall,N,Supporting Actor,2014
224,Patricia Arquette,Y,Supporting Actress,2014
225,Emma Stone,N,Supporting Actress,2014
226,Keira Knightley,N,Supporting Actress,2014
227,Laura Dern,N,Supporting Actress,2014
228,Meryl Streep,N,Supporting Actress,2014
229,12 Years a Slave,Y,Picture,2013
230,American Hustle,N,Picture,2013
231,Captain Phillips,N,Picture,2013
232,Dallas Buyers Club,N,Picture,2013
233,Gravity,N,Picture,2013
234,Her,N,Picture,2013
235,Nebraska,N,Picture,2013
236,Philomena,N,Picture,2013
237,The Wolf of Wall Street,N,Picture,2013
238,Matthew McConaughey,Y,Actor,2013
239,Christian Bale,N,Actor,2013
240,Bruce Dern,N,Actor,2013
241,Leonardo DiCaprio,N,Actor,2013
242,Chiwetel Ejiofor,N,Actor,2013
243,Cate Blanchett,Y,Actress,2013
244,Amy Adams,N,Actress,2013
245,Sandra Bullock,N,Actress,2013
246,Judi Dench,N,Actress,2013
247,Meryl Streep,N,Actress,2013
248,Jared Leto,Y,Supporting Actor,2013
249,Barkhad Abdi,N,Supporting Actor,2013
250,Bradley Cooper,N,Supporting Actor,2013
251,Michael Fassbender,N,Supporting Actor,2013
252,Jonah Hill,N,Supporting Actor,2013
253,Lupita Nyong'o,Y,Supporting Actress,2013
254,Sally Hawkins,N,Supporting Actress,2013
255,Jennifer Lawrence,N,Supporting Actress,2013
256,Julia Roberts,N,Supporting Actress,2013
257,June Squibb,N,Supporting Actress,2013
258,Amour,N,Picture,2012
259,Argo,Y,Picture,2012
260,Beasts of the Southern Wild,N,Picture,2012
261,Django Unchained,N,Picture,2012
262,Les Misérables,N,Picture,2012
263,Life of Pi,N,Picture,2012
264,Lincoln,N,Picture,2012
265,Silver Linings Playbook,N,Picture,2012
266,Zero Dark Thirty,N,Picture,2012
267,Bradley Cooper,N,Actor,2012
268,Daniel Day-Lewis,Y,Actor,2012
269,Hugh Jackman,N,Actor,2012
270,Joaquin Phoenix,N,Actor,2012
271,Denzel Washington,N,Actor,2012
272,Jessica Chastain,N,Actress,2012
273,Jennifer Lawrence,Y,Actress,2012
274,Emmanuelle Riva,N,Actress,2012
275,Quvenzhané Wallis,N,Actress,2012
276,Naomi Watts,N,Actress,2012
277,Alan Arkin,N,Supporting Actor,2012
278,Robert De Niro,N,Supporting Actor,2012
279,Philip Seymour Hoffman,N,Supporting Actor,2012
280,Tommy Lee Jones,N,Supporting Actor,2012
281,Christoph Waltz,Y,Supporting Actor,2012
282,Amy Adams,N,Supporting Actress,2012
283,Sally Field,N,Supporting Actress,2012
284,Anne Hathaway,Y,Supporting Actress,2012
285,Helen Hunt,N,Supporting Actress,2012
286,Jacki Weaver,N,Supporting Actress,2012
287,The Artist,Y,Picture,2011
288,Extremely Loud and Incredibly Close,N,Picture,2011
289,Hugo,N,Picture,2011
290,Midnight in Paris,N,Picture,2011
291,Moneyball,N,Picture,2011
292,The Descendants,N,Picture,2011
293,The Help,N,Picture,2011
294,The Tree of Life,N,Picture,2011
295,War Horse,N,Picture,2011
296,Jean Dujardin,Y,Actor,2011
297,Demian Bichir,N,Actor,2011
298,George Clooney,N,Actor,2011
299,Gary Oldman,N,Actor,2011
300,Brad Pitt,N,Actor,2011
301,Meryl Streep,Y,Actress,2011
302,Glenn Close,N,Actress,2011
303,Viola Davis,N,Actress,2011
304,Rooney Mara,N,Actress,2011
305,Michelle Williams,N,Actress,2011
306,Christopher Plummer,Y,Supporting Actor,2011
307,Kenneth Branagh,N,Supporting Actor,2011
308,Jonah Hill,N,Supporting Actor,2011
309,Nick Nolte,N,Supporting Actor,2011
310,Max von Sydow,N,Supporting Actor,2011
